CITY,OBJECTID,Join_Count,TARGET_FID,FID_CHN_with_TWN,DZCODE,CITY_NAME_,ROW_ID_279,ID_GIS,CITY_NAME2,Id,dzcode_1,coord_long,coord_lat,pos_x,pos_y,cityname_c,cityname_e,cpop2000,cpop2010,upop2000,upop2010,cityclass,Area_km2,Shape_Length,Shape_Area,Cohesion,nCohesion,Cohesion_km,Proximity,nProximity,Spin,nSpin,Range,nRange
511900,225,1,2667,272,5119,Bazhong,238,10037,Bazhong,9334,5119,106.68,31.83,6345,5507,"宸翠腑甯?,Bazhong""",328.9246,328.3771,40.62,93.4708,3,0,1.68926485,6062.299834,1689264.85,737.7846205,0.899880474,0.737784621,537.0940737,0.910190539,345795.2931,0.777497139,2251.748178,0.65130455
430800,136,1,1649,170,4308,Zhangjiajie,180,9924,Zhangjiajie,10370,4308,110.47,29.13,7044,6112,寮犲鐣屽競,Zhangjiajie,149.3115,147.65,33.8025,49.6265,2,2.466437504,7194.65486,2466437.504,881.2898699,0.910294321,0.88128987,637.7984204,0.926158726,482295.1715,0.813911778,2565.263763,0.690809165
431100,134,1,1645,168,4311,Yongzhou,183,9922,Yongzhou,11040,4311,111.56,26.43,7261,6700,"姘稿窞甯?,Yongzhou""",536.7106,518.02,116.2257,183.7863,4,0,5.266430056,10501.98915,5266430.056,1326.556413,0.883686032,1.326556413,970.583657,0.889321907,1152537.271,0.727246222,4719.850826,0.548636816
230500,97,1,1465,120,2305,Shuangyashan,59,9874,Shuangyashan,3317,2305,131.15,46.63,10116,1920,鍙岄腑灞卞競,Shuangyashan,144.8349,146.2626,80.7926,89.0815,3,5.276191966,9703.707983,5276191.966,1241.33497,0.945228609,1.24133497,910.1610698,0.94923959,965672.7398,0.869582414,3760.217807,0.689290593
341000,25,1,216,28,3410,Huangshan,99,9774,Huangshan,10215,3410,118.33,29.72,8523,5917,"榛勫北甯?,Huangshan""",137.0377,135.9,38.9462,55.5163,3,0,6.326782175,10439.99897,6326782.175,1341.40178,0.957851352,1.34140178,980.5574206,0.964833147,1109701.848,0.907395674,3675.232166,0.772256765
511400,233,1,2703,282,5114,Meishan,233,10047,Meishan,10103,5114,103.83,30.05,5797,5874,"鐪夊北甯?,Meishan""",320.5171,295.0548,60.218,97.5556,3,0,6.680977058,10439.95562,6680977.058,1367.804977,0.965297907,1.367804977,1004.580992,0.967762609,1157645.069,0.918511685,3726.421119,0.782677983
360300,157,1,1839,191,3603,pinxiang,118,9945,Pingxiang,10771,3603,113.83,27.6,7695,6433,"钀嶄埂�?,Pingxiang""",172.4732,185.451,67.5093,109.7352,4,0,7.197152592,10829.57308,7197152.592,1410.861539,0.971318174,1.410861539,1034.53912,0.975365168,1225228.967,0.934896613,4091.891745,0.739794808
230700,98,1,1475,122,2307,Yichun,61,9876,Yichun,3135,2307,128.91,47.72,9740,1755,"浼婃槬甯?,Yichun1""",124.9621,114.8126,112.6748,96.4391,3,0,7.403412591,11941.46528,7403412.591,1595.642548,0.87105569,1.595642548,1180.344904,0.86704343,1674814.993,0.70353425,4707.190886,0.652242698
360600,161,1,1850,195,3606,Yingtan,121,9949,Yingtan,10611,3606,117.07,28.27,8310,6253,"楣版江甯?,Yingtan""",102.7075,112.4906,35.7043,53.3682,3,0,7.861994966,11618.34541,7861994.966,1530.649004,0.935742427,1.530649004,1122.50323,0.939534183,1467558.578,0.852623793,4385.453767,0.721451105
451400,63,1,1145,75,4514,Chongzuo,218,9829,Chongzuo,11955,4514,107.37,22.37,6416,7576,"宕囧乏甯?,Chongzuo""",483.9536,199.43,88.4522,55.4578,3,0,11.52228556,14085.18783,11522285.56,1820.283131,0.952567865,1.820283131,1333.398877,0.957509379,2068427.297,0.886581175,5804.367859,0.65988681
141100,219,1,2640,266,1411,Lvliang,24,10031,Luliang,6909,1411,111.13,37.52,7148,4258,"鍚曟甯?,Luliang""",338.228,372.71,75.7487,141.3114,4,0,14.38792068,14762.04279,14387920.68,1983.415276,0.976901817,1.983415276,1464.194289,0.974392906,2451542.649,0.934068473,5217.946944,0.820265447
220600,163,1,1856,197,2206,baishan,53,9951,Baishan,4881,2206,126.44,41.91,9592,3073,"鐧藉北甯?,Baishan""",131.2362,129.66,97.9261,96.9899,3,0,14.54868291,15588.89947,14548682.91,2087.155986,0.933517546,2.087155986,1535.710715,0.934192184,2766792.985,0.836887622,6337.091057,0.679167587
530900,248,1,2918,325,5309,Lincang,249,10090,3401,11635,5309,100.05,23.83,4952,7169,"涓存钵甯?,Lincang""",233.257,243,21.2635,59.1205,3,0,14.54918342,15493.48476,14549183.42,2008.335782,0.970171555,2.008335782,1472.28671,0.974452608,2484941.377,0.931842691,5779.535465,0.74470014
510300,240,1,2739,292,5103,Zigong,223,10057,Zigong,10309,5103,104.78,29.35,5967,6038,"鑷础�?,Zigong""",303.3763,267.8898,86.0349,109.8902,4,0,15.76143378,15129.08746,15761433.78,2071.277075,0.979095865,2.071277075,1524.687834,0.979378871,2652746.533,0.945627509,5841.522738,0.766879006
430900,133,1,1643,167,4309,Yiyang,181,9921,Yiyang,10518,4309,112.32,28.57,7398,6230,"鐩婇槼甯?,Yiyang""",430.9143,431.31,118.3328,171.9909,4,0,16.01148034,15888.30756,16011480.34,2105.937342,0.970590088,2.105937342,1542.499858,0.97571822,2719660.492,0.93699425,5622.062008,0.803110255
